latitude,longitude,date,flag,title,place_name,place_url,time_string,signup_url
,,2018-03-01,ca,Mapathon,Toronto,,13:00-16:00,
,,2018-03-07,uk,Mapathon,London,,09:30-12:30,
,,2018-03-07,uk,Mapathon,London,,13:30-16:00,
,,2018-03-08,uk,Mapathon,London,,12:30-15:30,
,,2018-03-12,jp,Mapathon,Tokyo,,12:00-14:00,
,,2018-03-13,uk,Mapathon,London,,09:00-12:00,
,,2018-03-13,uk,Mapathon,London,,13:00-16:00,
,,2018-03-19,uk,Mapathon,London,,13:00-15:30,
,,2018-03-20,uk,Mapathon,London,,09:30-12:00,
,,2018-03-21,uk,Mapathon,London,,13:00-15:30,
,,2018-03-21,jp,Mapathon,Tokyo,,10:00-12:00,
,,2018-03-22,uk,Mapathon,London,,09:30-12:00,
,,2018-03-27,uk,Mapathon,London,,08:30-11:30,
,,2018-03-27,uk,Mapathon,London,,12:00-15:00,
